date,item,price
2019-04-27,DUNKINDONUTS,18.98
2019-04-27,MP 2 PC MILK,4.78
2023-08-28,ORGANIC,Unknown
2023-08-28,SQU,64.99
2023-08-28,CANDY SNAP,7.99
2019-04-22,McChicken,1
2019-04-22,L StrawBan Smoothie,4.49
2019-04-22,S French Fries,0
2025-08-27,1/4 CHEESE EVM,1.95
2025-08-27,LARGE FRY,3.18
2025-08-27,LARGE CHOCOLATE SHK,5.69
2019-05-16,Tenders Combo,6.79
2019-05-16,Md WldChyPep,Unknown
2019-05-16,Side Only,3.99
2021-09-19,Kent Cherry wood Baby Brush,Unknown
2017-12-09,KISSES,1
2017-12-09,BUTTERFINGER,9
2017-12-09,FOOD COLOR,2.99
2017-12-09,UP UP,3.59
2017-12-09,CONAIR HEADB,3.99
2017-12-09,CONAIR CLIPS,4.79
2017-12-09,CHAPSTICK 2,1.98
,Unknown,3.5
,McDouble,Unknown
,2,1.75
,McDouble,Unknown
,Hot&Spicy McChicken,1.75
,L Sprite,1
2015-05-19,Jabra - REVO Wireless Bluetooth,249.99
2022-05-29,MOZZ STICKS 8PC,2.79
2022-05-29,2 BIG KING MIX,5
2022-05-29,MD DISP WATER,0
,Large Irn Bru,1.18
,Gov Bag Charge,0.1
2011-10-06,SKITTLES,4
2011-10-06,ORAL B FLOSS,1.94
2011-10-06,BLUSH,3.74
2011-10-06,BLUSH,3.74
2011-10-06,UP FACIAL,0.49
2011-10-06,INDEX DIVIDR,1
2011-10-06,MFR CCLPON,8
2018-12-10,Happy Meal 6 Pc,4.89
2018-12-10,Snack Oreo McFlurry,2.69
Unknown,Muf - Fruit Explosion,2.29
Unknown,Unknown,1.99
Unknown,Muf - Choc Chip,Unknown
Unknown,Dnt - Sour Crm Glazd,1.34
Unknown,Dnt - Choc Glazd,Unknown
Unknown,Dnt - OF Glazed,1.34
Unknown,Dnt - Boston Cream,Unknown
Unknown,SM Original Blend,1.99
Unknown,Tbit - Choc Glazd,0.33
Unknown,Tbit - Sour Crm Glazd,0.33
Unknown,Tbit - Honey Dip,0.33
2016-04-20,FF BS BREAST,23.99
2016-04-20,KS DICED TOM,6.49
2016-04-20,JACKORGSALSA,2.97
2016-04-20,Unknown,Unknown
2016-04-20,18CT EGGS,12.87
2016-04-20,GRAPE TOMATO,6.29
2016-04-20,ECO HALF PAN,6.49
2016-04-20,GRND TURKEY,18.47
2016-04-20,CHPD ONION,3.59
2016-04-20,MONT JACK 2#,4.45
2019-02-25,McChicken,1
2019-02-25,M Coke,1
2019-02-25,L Shamrock Shake,4.19
2024-01-24,RING/LINKED,749.99
2018-12-10,Happy Meal 6 Pc,4.89
2018-12-10,Snack Oreo McFlurry,2.69
2013-06-15,31PC SHK KIT <A>,10.97
2013-06-15,DYNAWHT5.5 <A>,3.98
2013-06-15,5GL LID <A>,1.28
2013-06-15,BT25/30PK <A>,6.99
2013-06-15,1GPH MAN <A>,3.98
2013-06-15,HOMER BUCKET <A>,2.6
2013-06-15,RISER EXTNDR <A>,0.67
